land_area,building_area,bedrooms,bathrooms,floors,type,hospital,school,market,mall,transport,facility_ac,facility_carport,facility_garasi,facility_garden,facility_stove,facility_oven,facility_refrigerator,facility_microwave,facility_pam,facility_water_heater,facility_gordyn
20.0,20.0,1.0,1.0,1.0,Apartemen,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1
0.0,36.0,2.0,1.0,1.0,Apartemen,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0.0,36.0,1.0,1.0,1.0,Apartemen,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
25.0,25.0,1.0,1.0,1.0,Apartemen,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1
23.0,23.0,1.0,1.0,1.0,Apartemen,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1
21.0,21.0,1.0,1.0,1.0,Apartemen,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
0.0,41.0,2.0,1.0,1.0,Apartemen,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
25.0,25.0,1.0,1.0,1.0,Rumah,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
35.0,35.0,2.0,1.0,1.0,Apartemen,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
0.0,22.0,1.0,1.0,1.0,Apartemen,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
