land_area,building_area,bedrooms,bathrooms,floors,type,hospital,school,market,mall,transport,facility_ac,facility_carport,facility_garasi,facility_garden,facility_stove,facility_oven,facility_refrigerator,facility_microwave,facility_pam,facility_water_heater,facility_gordyn
90.0,70.0,3.0,2.0,2.0,Rumah,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
300.0,200.0,6.0,5.0,2.0,Rumah,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64.0,75.0,3.0,2.0,2.0,Rumah,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
123.0,140.0,3.0,3.0,2.0,Rumah,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
108.0,120.0,3.0,3.0,2.0,Rumah,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
64.0,75.0,3.0,2.0,2.0,Rumah,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
81.0,72.0,3.0,2.0,2.0,Rumah,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
81.0,72.0,3.0,2.0,2.0,Rumah,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
81.0,72.0,3.0,2.0,2.0,Rumah,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
81.0,72.0,3.0,2.0,2.0,Rumah,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
