land_area,building_area,bedrooms,bathrooms,floors,type,hospital,school,market,mall,transport,facility_ac,facility_carport,facility_garasi,facility_garden,facility_stove,facility_oven,facility_refrigerator,facility_microwave,facility_pam,facility_water_heater,facility_gordyn
198.0,104.0,2.0,2.0,1.0,Rumah,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
125.0,120.0,2.0,1.0,1.0,Rumah,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
77.0,120.0,2.0,2.0,2.0,Rumah,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
77.0,120.0,2.0,2.0,2.0,Rumah,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
85.0,85.0,2.0,1.0,1.0,Rumah,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
143.0,86.0,2.0,1.0,1.0,Rumah,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
40.0,70.0,3.0,2.0,2.0,Rumah,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
155.0,100.0,2.0,2.0,1.0,Rumah,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
72.0,70.0,2.0,1.0,1.0,Rumah,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
180.0,100.0,2.0,3.0,1.0,Rumah,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
