land_area,building_area,bedrooms,bathrooms,floors,type,hospital,school,market,mall,transport,facility_ac,facility_carport,facility_garasi,facility_garden,facility_stove,facility_oven,facility_refrigerator,facility_microwave,facility_pam,facility_water_heater,facility_gordyn
98.0,150.0,3.0,3.0,2.0,Rumah,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
80.0,80.0,3.0,1.0,1.0,Rumah,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
72.0,90.0,3.0,2.0,2.0,Rumah,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
86.0,70.0,3.0,2.0,1.0,Rumah,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
86.0,70.0,3.0,2.0,1.0,Rumah,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1036.0,900.0,5.0,4.0,1.0,Rumah,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
98.0,145.0,3.0,4.0,2.0,Rumah,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
72.0,140.0,3.0,3.0,2.0,Rumah,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
72.0,140.0,3.0,3.0,2.0,Rumah,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
72.0,140.0,3.0,3.0,2.0,Rumah,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
