land_area,building_area,bedrooms,bathrooms,floors,type,hospital,school,market,mall,transport,facility_ac,facility_carport,facility_garasi,facility_garden,facility_stove,facility_oven,facility_refrigerator,facility_microwave,facility_pam,facility_water_heater,facility_gordyn
60.0,66.0,3.0,2.0,2.0,Rumah,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
180.0,100.0,2.0,3.0,1.0,Rumah,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
47.0,82.0,2.0,1.0,1.0,Rumah,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
61.0,40.0,2.0,1.0,1.0,Rumah,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
60.0,60.0,2.0,1.0,1.0,Rumah,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
60.0,60.0,3.0,2.0,2.0,Rumah,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
72.0,41.0,2.0,1.0,1.0,Rumah,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
61.0,38.0,2.0,1.0,1.0,Rumah,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
72.0,36.0,2.0,1.0,1.0,Rumah,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50.0,36.0,2.0,1.0,1.0,Rumah,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
