land_area,building_area,bedrooms,bathrooms,floors,type,hospital,school,market,mall,transport,facility_ac,facility_carport,facility_garasi,facility_garden,facility_stove,facility_oven,facility_refrigerator,facility_microwave,facility_pam,facility_water_heater,facility_gordyn
80.0,82.0,3.0,3.0,2.0,Rumah,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
160.0,185.0,3.0,2.0,2.0,Rumah,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
160.0,185.0,3.0,2.0,2.0,Rumah,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
160.0,185.0,3.0,2.0,2.0,Rumah,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
93.0,140.0,3.0,2.0,2.0,Rumah,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
93.0,140.0,3.0,2.0,2.0,Rumah,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
93.0,140.0,3.0,2.0,2.0,Rumah,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
80.0,65.0,3.0,2.0,2.0,Rumah,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
100.0,100.0,3.0,2.0,2.0,Rumah,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
72.0,90.0,3.0,2.0,2.0,Rumah,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
